InvoiceDate,Revenues
2010-12-01,33668.69000000003
2010-12-02,29003.090000000127
2010-12-03,27182.830000000085
2010-12-05,18704.87000000013
2010-12-06,32260.19999999999
2010-12-07,14844.729999999865
2010-12-08,24439.79000000007
2010-12-09,32890.71000000002
2010-12-10,31549.209999999992
2010-12-12,10329.039999999997
2010-12-13,20295.05000000003
2010-12-14,26383.27000000001
2010-12-15,17123.210000000043
2010-12-16,27545.38000000009
2010-12-17,26619.52999999986
2010-12-19,4489.209999999993
2010-12-20,15143.239999999996
2010-12-21,28547.56999999992
2010-12-22,4839.989999999999
2010-12-23,6431.519999999998
2011-01-04,8494.96999999999
2011-01-05,-12822.159999999983
2011-01-06,22665.73000000008
2011-01-07,16437.50000000003
2011-01-09,10022.159999999983
2011-01-10,14894.740000000002
2011-01-11,46581.37000000008
2011-01-12,15450.2
2011-01-13,13119.259999999998
2011-01-14,27834.62999999999
2011-01-16,3974.999999999997
2011-01-17,17085.94999999991
2011-01-18,10866.289999999966
2011-01-19,15908.379999999985
2011-01-20,10963.129999999965
2011-01-21,21380.190000000068
2011-01-23,6038.969999999996
2011-01-24,16185.819999999956
2011-01-25,17851.28000000001
2011-01-26,10844.069999999974
2011-01-27,12649.470000000027
2011-01-28,10395.600000000013
2011-01-30,3975.0899999999965
2011-01-31,13004.480000000025
2011-02-01,17083.17999999999
2011-02-02,12684.86000000001
2011-02-03,13362.990000000023
2011-02-04,14838.649999999996
2011-02-06,2100.89
2011-02-07,15367.839999999995
2011-02-08,12038.91
2011-02-09,9927.95999999999
2011-02-10,8652.600000000008
2011-02-11,10320.180000000018
2011-02-13,3768.459999999998
2011-02-14,14238.730000000018
2011-02-15,24465.370000000104
2011-02-16,14160.349999999986
2011-02-17,15988.129999999992
2011-02-18,10837.579999999984
2011-02-20,5684.599999999991
2011-02-21,14214.269999999988
2011-02-22,21481.020000000033
2011-02-23,16098.75000000002
2011-02-24,13415.269999999995
2011-02-25,9515.69999999998
2011-02-27,5427.999999999995
2011-02-28,13922.189999999962
2011-03-01,15616.559999999983
2011-03-02,12323.619999999999
2011-03-03,18880.65000000005
2011-03-04,10658.989999999978
2011-03-06,5091.579999999995
2011-03-07,18932.29000000008
2011-03-08,13894.57999999997
2011-03-09,14081.549999999992
2011-03-10,16213.47999999999
2011-03-11,13343.56999999999
2011-03-13,2490.100000000002
2011-03-14,15344.059999999994
2011-03-15,15206.919999999967
2011-03-16,11286.480000000007
2011-03-17,25002.870000000145
2011-03-18,11712.590000000038
2011-03-20,12920.439999999982
2011-03-21,9617.260000000013
2011-03-22,18971.97000000003
2011-03-23,14045.53999999996
2011-03-24,19857.83000000001
2011-03-25,19733.929999999975
2011-03-27,5453.159999999999
2011-03-28,12220.919999999966
2011-03-29,47374.84000000011
2011-03-30,17180.379999999983
2011-03-31,19251.929999999982
2011-04-01,13103.380000000006
2011-04-03,3999.599999999998
2011-04-04,13864.86999999997
2011-04-05,17594.22000000002
2011-04-06,11021.180000000002
2011-04-07,11480.909999999978
2011-04-08,14097.029999999959
2011-04-10,5233.36999999999
2011-04-11,13094.94000000002
2011-04-12,14489.450000000023
2011-04-13,13506.960000000008
2011-04-14,20821.53000000004
2011-04-15,17599.940000000024
2011-04-17,8027.069999999992
2011-04-18,34950.580000000155
2011-04-19,15480.669999999986
2011-04-20,16174.109999999986
2011-04-21,18425.45999999999
2011-04-26,19410.61000000008
2011-04-27,15933.959999999975
2011-04-28,13341.239999999989
2011-05-01,4578.33
2011-05-03,10626.86999999998
2011-05-04,16809.18000000001
2011-05-05,18255.459999999955
2011-05-06,21892.330000000125
2011-05-08,11314.439999999993
2011-05-09,15444.869999999946
2011-05-10,27947.370000000104
2011-05-11,19221.99000000006
2011-05-12,37555.30999999991
2011-05-13,20040.520000000055
2011-05-15,5694.189999999996
2011-05-16,23372.450000000063
2011-05-17,30520.1
2011-05-18,19841.93000000002
2011-05-19,19750.25999999998
2011-05-20,14048.219999999994
2011-05-22,13065.430000000011
2011-05-23,17994.49999999995
2011-05-24,26717.770000000153
2011-05-25,14375.369999999975
2011-05-26,17060.48
2011-05-27,17746.68999999998
2011-05-29,4215.399999999991
2011-05-31,13106.229999999987
2011-06-01,12550.69999999992
2011-06-02,20751.550000000003
2011-06-03,10703.35999999999
2011-06-05,15341.429999999998
2011-06-06,9279.819999999996
2011-06-07,24832.970000000034
2011-06-08,25520.010000000097
2011-06-09,24504.359999999986
2011-06-10,14068.139999999983
2011-06-12,8162.789999999974
2011-06-13,12626.999999999973
2011-06-14,20281.26000000007
2011-06-15,27649.480000000058
2011-06-16,20010.599999999984
2011-06-17,11885.289999999975
2011-06-19,12543.759999999997
2011-06-20,19741.570000000043
2011-06-21,13557.75999999994
2011-06-22,14197.359999999999
2011-06-23,14723.969999999905
2011-06-24,769.020000000003
2011-06-26,3727.54
2011-06-27,9977.639999999981
2011-06-28,20509.68000000005
2011-06-29,13040.26999999996
2011-06-30,22050.900000000085
2011-07-01,7936.909999999989
2011-07-03,3323.349999999998
2011-07-04,29274.700000000084
2011-07-05,24174.20000000015
2011-07-06,15899.639999999927
2011-07-07,18914.509999999926
2011-07-08,16113.509999999971
2011-07-10,3237.0500000000025
2011-07-11,13645.66999999996
2011-07-12,14232.469999999945
2011-07-13,6753.9299999999985
2011-07-14,17895.68999999996
2011-07-15,8667.519999999997
2011-07-17,9851.220000000001
2011-07-18,11303.47999999993
2011-07-19,29679.71000000003
2011-07-20,15563.509999999942
2011-07-21,18063.419999999984
2011-07-22,11667.639999999985
2011-07-24,15137.42
2011-07-25,16905.619999999995
2011-07-26,12765.34999999995
2011-07-27,13605.779999999982
2011-07-28,35450.63000000011
2011-07-29,10182.47999999999
2011-07-31,23630.120000000003
2011-08-01,12978.259999999975
2011-08-02,8149.820000000004
2011-08-03,16504.649999999976
2011-08-04,32563.64000000005
2011-08-05,11643.309999999963
2011-08-07,4416.890000000001
2011-08-08,10679.049999999974
2011-08-09,15300.039999999972
2011-08-10,16802.55999999997
2011-08-11,44931.17000000012
2011-08-12,13321.009999999937
2011-08-14,2775.4700000000016
2011-08-15,10563.369999999995
2011-08-16,11587.180000000011
2011-08-17,28227.290000000008
2011-08-18,28393.85000000006
2011-08-19,10565.200000000008
2011-08-21,9076.379999999981
2011-08-22,20476.31000000003
2011-08-23,16424.76999999998
2011-08-24,29842.680000000077
2011-08-25,12178.309999999983
2011-08-26,15433.299999999992
2011-08-28,6239.569999999989
2011-08-30,18361.719999999856
2011-08-31,8552.879999999977
2011-09-01,21579.290000000005
2011-09-02,25995.21000000008
2011-09-04,10301.19999999999
2011-09-05,22182.000000000015
2011-09-06,16634.110000000004
2011-09-07,20864.290000000114
2011-09-08,16328.989999999965
2011-09-09,18892.71000000002
2011-09-11,22418.58000000007
2011-09-12,16689.95999999998
2011-09-13,33242.36000000015
2011-09-14,13262.239999999976
2011-09-15,39144.589999999946
2011-09-16,15133.02
2011-09-18,9466.309999999996
2011-09-19,25658.669999999987
2011-09-20,59572.18999999989
2011-09-21,25277.1400000002
2011-09-22,33265.400000000074
2011-09-23,25077.730000000076
2011-09-25,18325.710000000014
2011-09-26,17614.94099999998
2011-09-27,19023.340000000047
2011-09-28,27165.970000000125
2011-09-29,24773.52000000002
2011-09-30,26789.280000000053
2011-10-02,7196.599999999996
2011-10-03,34570.489999999976
2011-10-04,29763.530000000163
2011-10-05,42957.35999999992
2011-10-06,33620.820000000065
2011-10-07,34810.839999999975
2011-10-09,6909.529999999996
2011-10-10,25127.510000000195
2011-10-11,24918.660000000124
2011-10-12,17644.459999999992
2011-10-13,21879.850000000064
2011-10-14,21254.020000000062
2011-10-16,12332.670000000016
2011-10-17,28533.880000000132
2011-10-18,24945.320000000134
2011-10-19,22142.08000000006
2011-10-20,36560.91000000001
2011-10-21,37172.88999999998
2011-10-23,7371.909999999988
2011-10-24,21308.6500000001
2011-10-25,23578.670000000067
2011-10-26,21731.22000000007
2011-10-27,38223.200000000026
2011-10-28,20943.57000000002
2011-10-30,20543.840000000022
2011-10-31,25359.490000000016
2011-11-01,16934.600000000024
2011-11-02,26083.840000000106
2011-11-03,40718.41999999998
2011-11-04,36945.330000000075
2011-11-06,26276.320000000047
2011-11-07,37520.67999999997
2011-11-08,33873.24000000004
2011-11-09,36504.36000000002
2011-11-10,42355.76000000012
2011-11-11,32340.51000000017
2011-11-13,19376.960000000025
2011-11-14,69335.20000000024
2011-11-15,36968.08000000014
2011-11-16,39868.81000000026
2011-11-17,34546.130000000194
2011-11-18,29916.760000000148
2011-11-20,20989.02000000001
2011-11-21,31237.44000000007
2011-11-22,37953.75000000012
2011-11-23,45213.35000000011
2011-11-24,29325.97000000008
2011-11-25,32205.550000000127
2011-11-27,12431.650000000029
2011-11-28,33180.840000000106
2011-11-29,42459.08999999994
2011-11-30,36249.87000000013
2011-12-01,30181.070000000065
2011-12-02,32486.490000000096
2011-12-04,15100.57
2011-12-05,24095.36000000011
2011-12-06,34262.390000000145
2011-12-07,46840.870000000024
2011-12-08,50561.47999999995
2011-12-09,-150196.3399999998
